Fund House,Fund,AUM,NAV,Category,Year
ICICI Prudential,ICICI Prudential Balanced Fund,336,112.43,Balanced,2016
HDFC,HDFC Balanced Fund (G),8135.89,122.25,Balanced,2016
Birla SunLife,Birla SL - Balanced,5008.95,657.42,Balanced,2016
Sundaram,Sundaram Balanced Fund,191.05,70.87,Balanced,2016
Tata,Tata Balanced Fund - Regular (G),6129.62,180.86,Balanced,2016
SBI,SBI Magnum Balanced Fund (G),6747.17,102.46,Balanced,2016
Franklin Templeton,Franklin India Balanced Fund (G),1522.91,99.09,Balanced,2016
Reliance,Reliance RSF - Balanced (G),3590.73,43.95,Balanced,2016
ICICI Prudential,ICICI Pru Value Discovery Fund (G),10000,122.26,Equity Diversified,2016
HDFC,HDFC Equity Fund (G),10000,496.54,Equity Diversified,2016
Birla SunLife,Birla SL Frontline Equity (G),10000,175.58,Equity Diversified,2016
Sundaram,Sundaram Select Midcap -RP (G),4178.16,402.51,Equity Diversified,2016
Tata,Tata Equity Opp. Fund - Regular (G),1064.94,160.4,Equity Diversified,2016
SBI,SBI Blue Chip Fund (G),7320.88,30.78,Equity Diversified,2016
Franklin Templeton,Franklin India Bluechip (G),5617.21,377.78,Equity Diversified,2016
Reliance,Reliance Equity Oppor -Direct (G),8883.11,73.55,Equity Diversified,2016
ICICI Prudential,ICICI Pru Equity-Arbitrage- RP (G),3837.44,21.47,Hybrid,2016
HDFC,HDFC Debt-Cancer Cure 2014-50% - DP,174.79,10.28,Hybrid,2016
Birla SunLife,Birla SL Enhanced Arbit.-Direct (G),1885.84,17,Hybrid,2016
Sundaram,Sundaram CPOF- Sr 2 -3 yrs (G),346.68,11.89,Hybrid,2016
Tata,Tata Regular Saving Equity Fund (G),94.47,29.21,Hybrid,2016
SBI,SBI Dynamic Asset Allocation Fund-RP (G),127.46,10.49,Hybrid,2016
Franklin Templeton,Franklin (I) Dyn. PE Ratio FOF (G),734.01,68.45,Hybrid,2016
Reliance,Reliance RF -Wealth Creation (G),524.12,10.4,Hybrid,2016
ICICI Prudential,ICICI Pru Income (G),2113.79,52.56,Debt - Long Term,2016
HDFC,HDFC Corporate Debt Opp. -Reg (G),9742.66,13.42,Debt - Long Term,2016
Birla SunLife,Birla SL Income Plus -Direct (G),4126.56,76.61,Debt - Long Term,2016
Sundaram,Sundaram Flexible Inc. -Direct (G),912.06,23.23,Debt - Long Term,2016
Tata,Tata Gilt Mid Term Fund (G),156.58,18.23,Debt - Long Term,2016
SBI,SBI Magnum Gilt LTP-PF 2Yr (G),2087.42,19.92,Debt - Long Term,2016
Franklin Templeton,Franklin India Dynamic Accrual Fund (G),1712.7,55.82,Debt - Long Term,2016
Reliance,Reliance Income Fund (G),1122.48,53.83,Debt - Long Term,2016
